URL,Version,Status,OIDs,Name,Title,Description,Used
http://athena.ohdsi.org/search-terms/terms,0.1.0,active,,OMOPConceptsCS,OHDSI OMOP CDM Concepts (External Reference),"Stub CodeSystem representing OHDSI OMOP Common Data Model concepts from Athena. This CodeSystem serves as a formal reference target for ConceptMaps mapping to OMOP. Actual concept codes are maintained at https://athena.ohdsi.org/",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/MindfulnessSettingCS,0.1.0,active,,MindfulnessSettingCS,Mindfulness Setting CodeSystem,"CodeSystem defining different settings where mindfulness practice can occur",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/activity-balance-cs,0.1.0,active,,ActivityBalanceCS,Activity Balance CodeSystem,"Codes for activity and recovery balance status",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/advanced-vital-signs-context-cs,0.1.0,active,,AdvancedVitalSignsContextCS,Advanced Vital Signs Context Code System,"Codes for advanced vital signs measurement context",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/alcohol-beverage-type-cs,0.1.0,active,,AlcoholBeverageTypeCS,Alcohol Beverage Type CodeSystem,"Common alcoholic beverage types",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/alcohol-drinking-frequency-cs,0.1.0,active,,AlcoholDrinkingFrequencyCS,Alcohol Drinking Frequency CodeSystem,"AUDIT-C style frequency categories",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/apple-sleep-stages-cs,0.1.0,active,,AppleSleepStagesCS,Apple HealthKit Sleep Stages CodeSystem,"Apple HealthKit HKCategoryValueSleepAnalysis sleep stage classifications",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/assignment-status-cs,0.1.0,active,,AssignmentStatusCS,Assignment Status CodeSystem,"Status values for terminology code assignment tracking",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/assistance-level-outcomes,0.1.0,active,,AssistanceLevelOutcomes,Assistance Level Outcomes,"Outcomes related to assistance levels in mobility assessments",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/audit-formats,0.1.0,active,,AuditFormatsCodeSystem,Audit Formats Code System,"Code system for audit format types",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/audit-levels,0.1.0,active,,AuditLevelsCodeSystem,Audit Levels Code System,"Code system for audit level types",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/balance-status,0.1.0,active,,BalanceStatusCodeSystem,Balance Status Code System,"Code system for balance status types",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/baseline-comparison-cs,0.1.0,active,,BaselineComparisonCS,Baseline Comparison CodeSystem,"Codes for comparing current values to personal baseline",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/caffeine-intake-level-cs,0.1.0,active,,CaffeineIntakeLevelCS,Caffeine Intake Level CodeSystem,"Risk levels for caffeine intake",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/caffeine-source-cs,0.1.0,active,,CaffeineSourceCS,Caffeine Source CodeSystem,"Sources of caffeine in diet",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cervical-mucus-cs,0.1.0,active,,CervicalMucusCodeSystem,Cervical Mucus Code System,"Code system for cervical mucus classification",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cessation-support-method-cs,0.1.0,active,,CessationSupportMethodCS,Cessation Support Method CodeSystem,"Methods used to support cessation of substance use",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cessation-support-status-cs,0.1.0,active,,CessationSupportStatusCS,Cessation Support Status CodeSystem,"Status of cessation support",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cgm-glucose-interpretation-cs,0.1.0,active,,CGMGlucoseInterpretationCS,CGM Glucose Interpretation CodeSystem,"Categorical interpretation of glucose values",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cgm-insertion-site-cs,0.1.0,active,,CGMInsertionSiteCS,CGM Insertion Site CodeSystem,"Body sites for CGM sensor insertion",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cgm-metrics-cs,0.1.0,active,,CGMMetricsCS,CGM Metrics CodeSystem,"CodeSystem for continuous glucose monitoring metrics",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cgm-system-cs,0.1.0,active,,CGMSystemCS,CGM System CodeSystem,"CGM devices and systems",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/cgm-trend-arrow-cs,0.1.0,active,,CGMTrendArrowCS,CGM Trend Arrow CodeSystem,"Direction and rate of glucose change",
https://2rdoc.pt/ig/ios-lifestyle-medicine/CodeSystem/circadian-phase-cs,0.1.0,active,,CircadianPhaseCS,Circadian Phase Code System,"Code system for circadian rhythm phases",
